"site.id","latitude","longitude","date","median.T","sst_jpl","sst_acspo","sst_crw"
"AQ",42.53003,-70.852886,2024-05-07,11.236,10.5288226181255,8.37859652335184,8.71
"AQ",42.53003,-70.852886,2024-05-08,11.334,10.6103462432223,9.88074866208163,8.475
"AQ",42.53003,-70.852886,2024-05-09,11.041,10.4626274206042,10.2654920608278,10.12
"AQ",42.53003,-70.852886,2024-05-10,11.334,10.4661371030209,10.8842856543405,9.91
"AQ",42.53003,-70.852886,2024-05-11,11.334,10.5792695584818,10.2704140486991,10.35
"AQ",42.53003,-70.852886,2024-05-12,11.431,10.8334043377227,10.2161971448173,10.14
"AQ",42.53003,-70.852886,2024-05-13,11.819,10.9763075135554,10.1943809993683,10.225
"AQ",42.53003,-70.852886,2024-05-14,13.269,11.1018450813323,10.8835555545867,10.76
"AQ",42.53003,-70.852886,2024-05-15,12.98,11.1361262587142,11.2687301423815,11.245
"AQ",42.53003,-70.852886,2024-05-16,13.076,11.5798241673122,10.9221610214751,10.805
"AQ",42.53003,-70.852886,2024-05-17,13.269,11.604357087529,NA,11.44
"AQ",42.53003,-70.852886,2024-05-18,13.606,11.4692052672347,11.782222242204,11.945
"AQ",42.53003,-70.852886,2024-05-19,13.269,11.5518202943455,12.3811428809653,11.865
"AQ",42.53003,-70.852886,2024-05-20,13.076,11.8712633617351,NA,11.765
"AQ",42.53003,-70.852886,2024-05-21,13.654,14.9672114639814,10.6601270130702,11.455
"AQ",42.53003,-70.852886,2024-05-22,14.134,14.6079659178931,12.1419292707535,11.965
"AQ",42.53003,-70.852886,2024-05-23,13.75,14.3751092176607,13.8548245764615,11.72
"AQ",42.53003,-70.852886,2024-05-24,11.431,14.3890666150271,14.1978703693107,13.73
"AQ",42.53003,-70.852886,2024-05-25,9.866,14.469803253292,14.1896190703861,13.845
"AQ",42.53003,-70.852886,2024-05-26,12.207,14.4922726568552,13.7563492245144,13.495
"AQ",42.53003,-70.852886,2024-05-27,13.75,14.6694864446166,14.4527778057825,13.975
"AQ",42.53003,-70.852886,2024-05-28,14.661,15.2075120061967,15.6642911918319,14.975
"AQ",42.53003,-70.852886,2024-05-29,12.642,15.3112261812548,14.0856852652458,15.08
"AQ",42.53003,-70.852886,2024-05-30,14.038,14.7927358636716,14.9115873124864,15.055
"AQ",42.53003,-70.852886,2024-05-31,14.517,14.8065817195972,15.5439583261808,14.88
"AQ",42.53003,-70.852886,2024-06-01,15.187,15.1515220759101,14.3350955452889,14.575
"AQ",42.53003,-70.852886,2024-06-02,15.712,15.1672904725019,14.8499365155659,14.935
"AQ",42.53003,-70.852886,2024-06-03,16.046,15.2537591014717,14.7606348915706,15.06
"AQ",42.53003,-70.852886,2024-06-04,16.7605,15.6626026336174,15.3465705009607,15.215
"AQ",42.53003,-70.852886,2024-06-05,16.7605,15.864100697134,15.2808888783531,15.64
"AQ",42.53003,-70.852886,2024-06-06,13.846,15.8921696359411,16.2133333508931,16.19
"AQ",42.53003,-70.852886,2024-06-07,15.282,16.0869674670798,16.4119214012113,16.125
"AQ",42.53003,-70.852886,2024-06-08,14.996,16.2559364833462,16.1104444786354,16
"AQ",42.53003,-70.852886,2024-06-09,10.553,16.2066831913246,16.2436190378098,16.38
"AQ",42.53003,-70.852886,2024-06-10,11.528,16.1311456235476,16.2273931584807,16.605
"AQ",42.53003,-70.852886,2024-06-11,12.304,16.2542385747483,15.6949206215995,16.18
"AQ",42.53003,-70.852886,2024-06-12,13.558,16.5543810999225,15.3481587243459,15.91
"AQ",42.53003,-70.852886,2024-06-13,14.948,17.8225569326104,16.1720952261062,16.48
"AQ",42.53003,-70.852886,2024-06-14,14.709,17.7835290472502,16.6863810069977,16.835
"AQ",42.53003,-70.852886,2024-06-15,12.7385,17.6144244771495,17.018825425042,16.8
"AQ",42.53003,-70.852886,2024-06-16,12.9315,17.6084190549961,16.162025733776,16.89
"AQ",42.53003,-70.852886,2024-06-17,14.9,17.7455522850503,16.1023809251331,15.965
"AQ",42.53003,-70.852886,2024-06-18,14.9,17.6043400464756,16.7398299100448,16.19
"AQ",42.53003,-70.852886,2024-06-19,12.013,17.4973927188226,16.4449473464698,16.505
"AQ",42.53003,-70.852886,2024-06-20,10.553,17.5090387296669,17.340992604985,17.025
"AQ",42.53003,-70.852886,2024-06-21,10.748,17.7103113865221,17.3029786644252,16.68
"AQ",42.53003,-70.852886,2024-06-22,12.69,18.0087536793184,17.5314696101716,17.09
"AQ",42.53003,-70.852886,2024-06-23,15.0435,18.3932804027885,17.2809999313355,17.47
"AQ",42.53003,-70.852886,2024-06-24,15.664,17.708201394268,18.1700000762939,17.16
"AQ",42.53003,-70.852886,2024-06-25,10.846,17.6552718822618,16.7426667036834,17.655
"AQ",42.53003,-70.852886,2024-06-26,14.421,17.5499674670798,16.6265917574422,17.285
"AQ",42.53003,-70.852886,2024-06-27,14.325,17.4679217660728,17.3742372302686,17.02
"AQ",42.53003,-70.852886,2024-06-28,12.883,17.3365778466305,17.606464956976,17.065
"AQ",42.53003,-70.852886,2024-06-29,13.558,17.4891045701007,15.7366349447341,16.325
"AQ",42.53003,-70.852886,2024-06-30,14.134,17.3903090627421,15.9875464421666,16.725
"AQ",42.53003,-70.852886,2024-07-01,13.173,17.2845213013168,15.5649995803833,15.735
"AQ",42.53003,-70.852886,2024-07-02,12.98,17.4380929512006,15.0974603138273,16.07
"AQ",42.53003,-70.852886,2024-07-03,13.654,17.3090325329202,15.3260317484538,15.45
"AQ",42.53003,-70.852886,2024-07-04,15.091,17.4087474825716,15.9846032036675,15.875
