site_id,time,temp_c
AQ,2026-03-02T00:00:00.000000,2.173629999
AQ,2026-03-02T01:00:00.000000,2.265526295
AQ,2026-03-02T02:00:00.000000,2.346730232
AQ,2026-03-02T03:00:00.000000,2.345557451
AQ,2026-03-02T04:00:00.000000,2.240067244
AQ,2026-03-02T05:00:00.000000,2.201370239
AQ,2026-03-02T06:00:00.000000,2.196902514
AQ,2026-03-02T07:00:00.000000,2.196680546
AQ,2026-03-02T08:00:00.000000,2.167271376
AQ,2026-03-02T09:00:00.000000,2.143077135
AQ,2026-03-02T10:00:00.000000,2.11717701
AQ,2026-03-02T11:00:00.000000,2.064702034
AQ,2026-03-02T12:00:00.000000,1.999840498
AQ,2026-03-02T13:00:00.000000,1.998433948
AQ,2026-03-02T14:00:00.000000,1.992257237
AQ,2026-03-02T15:00:00.000000,2.003372669
AQ,2026-03-02T16:00:00.000000,1.988704443
AQ,2026-03-02T17:00:00.000000,2.045295715
AQ,2026-03-02T18:00:00.000000,2.111055613
AQ,2026-03-02T19:00:00.000000,2.150773764
AQ,2026-03-02T20:00:00.000000,2.187159061
AQ,2026-03-02T21:00:00.000000,2.186855078
AQ,2026-03-02T22:00:00.000000,2.190638542
AQ,2026-03-02T23:00:00.000000,2.179703712
AQ,2026-03-03T00:00:00.000000,2.178350687
AQ,2026-03-03T01:00:00.000000,2.140571594
AQ,2026-03-03T02:00:00.000000,2.042426825
AQ,2026-03-03T03:00:00.000000,2.005163193
AQ,2026-03-03T04:00:00.000000,2.008277655
AQ,2026-03-03T05:00:00.000000,1.91093421
AQ,2026-03-03T06:00:00.000000,1.852814555
AQ,2026-03-03T07:00:00.000000,1.870723248
AQ,2026-03-03T08:00:00.000000,1.867737532
AQ,2026-03-03T09:00:00.000000,1.851502657
AQ,2026-03-03T10:00:00.000000,1.815075755
AQ,2026-03-03T11:00:00.000000,1.738710284
AQ,2026-03-03T12:00:00.000000,1.717848063
AQ,2026-03-03T13:00:00.000000,1.734201193
AQ,2026-03-03T14:00:00.000000,1.823389292
AQ,2026-03-03T15:00:00.000000,1.940381765
AQ,2026-03-03T16:00:00.000000,2.00833106
AQ,2026-03-03T17:00:00.000000,2.001447439
AQ,2026-03-03T18:00:00.000000,1.955249548
AQ,2026-03-03T19:00:00.000000,1.987240791
AQ,2026-03-03T20:00:00.000000,1.994331121
AQ,2026-03-03T21:00:00.000000,2.014712334
AQ,2026-03-03T22:00:00.000000,2.00011158
AQ,2026-03-03T23:00:00.000000,2.002405643
AQ,2026-03-04T00:00:00.000000,2.020498753
AQ,2026-03-04T01:00:00.000000,2.08763814
AQ,2026-03-04T02:00:00.000000,2.18142724
AQ,2026-03-04T03:00:00.000000,2.218050241
AQ,2026-03-04T04:00:00.000000,2.241497755
AQ,2026-03-04T05:00:00.000000,2.243871212
AQ,2026-03-04T06:00:00.000000,2.176803589
AQ,2026-03-04T07:00:00.000000,2.159875631
AQ,2026-03-04T08:00:00.000000,2.178505182
AQ,2026-03-04T09:00:00.000000,2.171003103
AQ,2026-03-04T10:00:00.000000,2.151202202
AQ,2026-03-04T11:00:00.000000,2.140156269
AQ,2026-03-04T12:00:00.000000,2.144377708
AQ,2026-03-04T13:00:00.000000,2.159955025
AQ,2026-03-04T14:00:00.000000,2.178083897
AQ,2026-03-04T15:00:00.000000,2.214014053
AQ,2026-03-04T16:00:00.000000,2.284016371
AQ,2026-03-04T17:00:00.000000,2.337003708
AQ,2026-03-04T18:00:00.000000,2.40004611
AQ,2026-03-04T19:00:00.000000,2.443820715
AQ,2026-03-04T20:00:00.000000,2.465852499
AQ,2026-03-04T21:00:00.000000,2.471710205
AQ,2026-03-04T22:00:00.000000,2.469495296
AQ,2026-03-04T23:00:00.000000,2.45631814
AQ,2026-03-05T00:00:00.000000,2.430325985
AQ,2026-03-05T01:00:00.000000,2.399099588
AQ,2026-03-05T02:00:00.000000,2.383613825
AQ,2026-03-05T03:00:00.000000,2.367828131
AQ,2026-03-05T04:00:00.000000,2.369145632
AQ,2026-03-05T05:00:00.000000,2.385425568
