"site_id","time","temp_c"
"AQ","2026-03-05T00:00:00.000000",2.43032598495483
"AQ","2026-03-05T01:00:00.000000",1.74152898788452
"AQ","2026-03-05T02:00:00.000000",1.60821211338043
"AQ","2026-03-05T03:00:00.000000",1.58113181591034
"AQ","2026-03-05T04:00:00.000000",1.58219957351685
"AQ","2026-03-05T05:00:00.000000",1.60060000419617
"AQ","2026-03-05T06:00:00.000000",1.6076375246048
"AQ","2026-03-05T07:00:00.000000",1.53247368335724
"AQ","2026-03-05T08:00:00.000000",1.5020090341568
"AQ","2026-03-05T09:00:00.000000",1.51351177692413
"AQ","2026-03-05T10:00:00.000000",1.50331628322601
"AQ","2026-03-05T11:00:00.000000",1.49282491207123
"AQ","2026-03-05T12:00:00.000000",1.48936653137207
"AQ","2026-03-05T13:00:00.000000",1.50647222995758
"AQ","2026-03-05T14:00:00.000000",1.52576994895935
"AQ","2026-03-05T15:00:00.000000",1.55874693393707
"AQ","2026-03-05T16:00:00.000000",1.6050238609314
"AQ","2026-03-05T17:00:00.000000",1.63227105140686
"AQ","2026-03-05T18:00:00.000000",1.65537750720978
"AQ","2026-03-05T19:00:00.000000",1.61403059959412
"AQ","2026-03-05T20:00:00.000000",1.57536268234253
"AQ","2026-03-05T21:00:00.000000",1.58261561393738
"AQ","2026-03-05T22:00:00.000000",1.58235716819763
"AQ","2026-03-05T23:00:00.000000",1.57762467861176
"AQ","2026-03-06T00:00:00.000000",1.57979094982147
"AQ","2026-03-06T01:00:00.000000",1.75105941295624
"AQ","2026-03-06T02:00:00.000000",1.78379774093628
"AQ","2026-03-06T03:00:00.000000",1.80815720558167
"AQ","2026-03-06T04:00:00.000000",1.83475816249847
"AQ","2026-03-06T05:00:00.000000",1.8492933511734
"AQ","2026-03-06T06:00:00.000000",1.8605922460556
"AQ","2026-03-06T07:00:00.000000",1.8649001121521
"AQ","2026-03-06T08:00:00.000000",1.81737375259399
"AQ","2026-03-06T09:00:00.000000",1.80850791931152
"AQ","2026-03-06T10:00:00.000000",1.79268932342529
"AQ","2026-03-06T11:00:00.000000",1.77627432346344
"AQ","2026-03-06T12:00:00.000000",1.80657160282135
"AQ","2026-03-06T13:00:00.000000",1.82977974414825
"AQ","2026-03-06T14:00:00.000000",1.83089089393616
"AQ","2026-03-06T15:00:00.000000",1.84105229377747
"AQ","2026-03-06T16:00:00.000000",1.84946656227112
"AQ","2026-03-06T17:00:00.000000",1.86637914180756
"AQ","2026-03-06T18:00:00.000000",1.88462626934052
"AQ","2026-03-06T19:00:00.000000",1.89628469944
"AQ","2026-03-06T20:00:00.000000",1.88685846328735
"AQ","2026-03-06T21:00:00.000000",1.86660695075989
