site.id,date,sst_jpl
PV,2025-05-27,10.476
PV,2025-05-28,10.664
PV,2025-05-29,12.047
PV,2025-05-30,12.462
PV,2025-05-31,12.52
PV,2025-06-01,12.53
PV,2025-06-02,12.777
