site.id,date,sst_jpl
NB,2025-03-25,4.413
NB,2025-03-26,4.289
NB,2025-03-27,4.297
NB,2025-03-28,4.287
NB,2025-03-29,4.388
NB,2025-03-30,4.576
NB,2025-03-31,5.111
