site.id,date,sst_jpl
NB,2024-12-03,8.988
NB,2024-12-04,9.032
NB,2024-12-05,9.004
NB,2024-12-06,8.743
NB,2024-12-07,8.684
NB,2024-12-08,8.738
NB,2024-12-09,8.754
