site_id,time,temp
AQ,2026-03-03T00:00:00.000000,2.594340801
AQ,2026-03-03T01:00:00.000000,2.617766857
AQ,2026-03-03T02:00:00.000000,2.630962133
AQ,2026-03-03T03:00:00.000000,2.636954069
AQ,2026-03-03T04:00:00.000000,2.640806437
AQ,2026-03-03T05:00:00.000000,2.637037039
AQ,2026-03-03T06:00:00.000000,2.635664701
AQ,2026-03-03T07:00:00.000000,2.632136822
AQ,2026-03-03T08:00:00.000000,2.627250195
AQ,2026-03-03T09:00:00.000000,2.624252319
AQ,2026-03-03T10:00:00.000000,2.594758511
AQ,2026-03-03T11:00:00.000000,2.507322311
AQ,2026-03-03T12:00:00.000000,2.507159948
AQ,2026-03-03T13:00:00.000000,2.534781218
AQ,2026-03-03T14:00:00.000000,2.554585934
AQ,2026-03-03T15:00:00.000000,2.567886829
AQ,2026-03-03T16:00:00.000000,2.579027414
AQ,2026-03-03T17:00:00.000000,2.588181019
AQ,2026-03-03T18:00:00.000000,2.592485905
AQ,2026-03-03T19:00:00.000000,2.593770504
AQ,2026-03-03T20:00:00.000000,2.592951536
AQ,2026-03-03T21:00:00.000000,2.58761549
AQ,2026-03-03T22:00:00.000000,2.578615665
AQ,2026-03-03T23:00:00.000000,2.565058947
AQ,2026-03-04T00:00:00.000000,2.566239357
AQ,2026-03-04T01:00:00.000000,2.582244158
AQ,2026-03-04T02:00:00.000000,2.591547489
AQ,2026-03-04T03:00:00.000000,2.596428633
AQ,2026-03-04T04:00:00.000000,2.596605778
AQ,2026-03-04T05:00:00.000000,2.594463587
AQ,2026-03-04T06:00:00.000000,2.589540005
AQ,2026-03-04T07:00:00.000000,2.579478264
AQ,2026-03-04T08:00:00.000000,2.570388317
AQ,2026-03-04T09:00:00.000000,2.55914259
AQ,2026-03-04T10:00:00.000000,2.553093672
AQ,2026-03-04T11:00:00.000000,2.557546139
AQ,2026-03-04T12:00:00.000000,2.564703941
AQ,2026-03-04T13:00:00.000000,2.568667173
AQ,2026-03-04T14:00:00.000000,2.578941107
AQ,2026-03-04T15:00:00.000000,2.589138269
AQ,2026-03-04T16:00:00.000000,2.594015121
AQ,2026-03-04T17:00:00.000000,2.593150616
AQ,2026-03-04T18:00:00.000000,2.586331367
AQ,2026-03-04T19:00:00.000000,2.57565546
AQ,2026-03-04T20:00:00.000000,2.567563295
AQ,2026-03-04T21:00:00.000000,2.562810421
AQ,2026-03-04T22:00:00.000000,2.561280489
AQ,2026-03-04T23:00:00.000000,2.562962055
AQ,2026-03-05T00:00:00.000000,2.568997383
